Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
169,BALLY,PRATAP GOSWAMI,Independent,98,lost,-57541
169,BALLY,INDRANATH DAS,Independent Nationalist Front,54,lost,-57585
169,BALLY,NISHU KURMI,Independent,46,lost,-57593
169,BALLY,KANCHAN SONKAR,National Republic Party Of India,44,lost,-57595
169,BALLY,ALOK PAKHIRA,Independent,43,lost,-57596
169,BALLY,NOTA,None of the Above,924,,-56715
170,HOWRAH UTTAR,UMESH RAI,Bharatiya Janata Party,67539,won,+ 11250
170,HOWRAH UTTAR,GAUTAM CHOWDHURY,All India Trinamool Congress,56289,lost,-11250
170,HOWRAH UTTAR,GAUTAM RAY,Communist Party of India (Marxist),5997,lost,-61542
170,HOWRAH UTTAR,OM PRAKASH JAISWAL,Indian National Congress,920,lost,-66619
170,HOWRAH UTTAR,SOUMEN MANNA,Independent,503,lost,-67036
170,HOWRAH UTTAR,HARINAARAYAN CHOWDHARY,Independent,250,lost,-67289
170,HOWRAH UTTAR,SISIR SAMANTA,Independent,168,lost,-67371
170,HOWRAH UTTAR,PRITI DEVI,Bahujan Samaj Party,150,lost,-67389
170,HOWRAH UTTAR,SHANKAR KHA,Independent,144,lost,-67395
170,HOWRAH UTTAR,GANESHLAL GUPTA,National Republic Party Of India,93,lost,-67446
170,HOWRAH UTTAR,CHANDRA KANTA JAISWAL,Independent,56,lost,-67483
170,HOWRAH UTTAR,MONORANJAN POLLEY,Independent,56,lost,-67483
170,HOWRAH UTTAR,GAUTAM VERMA,Independent,50,lost,-67489
170,HOWRAH UTTAR,NOTA,None of the Above,848,,-66691
171,HOWRAH MADHYA,ARUP ROY,All India Trinamool Congress,95948,won,+ 16083
171,HOWRAH MADHYA,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,79865,lost,-16083
171,HOWRAH MADHYA,IMTEAZ AHMED,Communist Party of India (Marxist),11280,lost,-84668
171,HOWRAH MADHYA,APARNA BOSE,Indian National Congress,2747,lost,-93201
171,HOWRAH MADHYA,SAIKAT RAM,Independent,586,lost,-95362
171,HOWRAH MADHYA,DEBNATH KUNDU,Bahujan Samaj Party,439,lost,-95509
171,HOWRAH MADHYA,RENU PRASAD,Independent,255,lost,-95693
171,HOWRAH MADHYA,SUBRATA MONDAL,Independent,252,lost,-95696
171,HOWRAH MADHYA,ASIF HUSSAIN,Aam Janata Unnayan party,203,lost,-95745
171,HOWRAH MADHYA,SHARMISTHA DAS,Independent,170,lost,-95778
171,HOWRAH MADHYA,SHRIRUP DAS,Socialist Unity Centre Of India (COMMUNIST),168,lost,-95780
171,HOWRAH MADHYA,ARIJIT NANDY,Independent,130,lost,-95818
171,HOWRAH MADHYA,DEBASISH GHORUI,Independent,127,lost,-95821
171,HOWRAH MADHYA,AMAJIT BASU,Independent,93,lost,-95855
171,HOWRAH MADHYA,SANKAR MONDAL (BULTU),Bharatiya Nyay-Adhikar Raksha Party,86,lost,-95862
171,HOWRAH MADHYA,NOTA,None of the Above,1110,,-94838
172,SHIBPUR,RUDRANIL GHOSH,Bharatiya Janata Party,89615,won,+ 16058
172,SHIBPUR,DR. RANA CHATTERJEE,All India Trinamool Congress,73557,lost,-16058
172,SHIBPUR,DR. JAGANNATH BHATTACHARYYA,All India Forward Bloc,12542,lost,-77073
172,SHIBPUR,SHRABANTI SINGH,Indian National Congress,1993,lost,-87622
172,SHIBPUR,BIMALESH KUMAR HELA,Bahujan Samaj Party,671,lost,-88944
172,SHIBPUR,SANJAY KARMAKAR,Independent,571,lost,-89044
172,SHIBPUR,RAJ ROY,Independent,360,lost,-89255
172,SHIBPUR,KARTICK SHIL,Socialist Unity Centre Of India (COMMUNIST),318,lost,-89297
172,SHIBPUR,SUROJIT DAS,Independent,219,lost,-89396
172,SHIBPUR,ABHISEK MONDAL,Independent,177,lost,-89438
172,SHIBPUR,NOTA,None of the Above,1300,,-88315
173,HOWRAH DAKSHIN,NANDITA CHOWDHURY,All India Trinamool Congress,100540,won,+ 7828
173,HOWRAH DAKSHIN,SHYAMAL KUMAR HATI,Bharatiya Janata Party,92712,lost,-7828
173,HOWRAH DAKSHIN,ABHIJIT BANERJEE,Communist Party of India (Marxist),21598,lost,-78942
173,HOWRAH DAKSHIN,DEEPSHIKHA BHOWMICK,Indian National Congress,2609,lost,-97931
173,HOWRAH DAKSHIN,RAJESH KUMAR SINGH,Independent,745,lost,-99795
173,HOWRAH DAKSHIN,PABITRA BISWAS,Independent,525,lost,-100015
173,HOWRAH DAKSHIN,RITA GHOSHAL,Socialist Unity Centre Of India (COMMUNIST),498,lost,-100042
173,HOWRAH DAKSHIN,MADHUSRI GHOSH,Independent,339,lost,-100201
173,HOWRAH DAKSHIN,AMIT CHAKRABORTY,Independent,311,lost,-100229
173,HOWRAH DAKSHIN,SAMIR BACHAR,Independent,303,lost,-100237
173,HOWRAH DAKSHIN,AVIJIT DAS,Independent,159,lost,-100381
173,HOWRAH DAKSHIN,AVISEK DAS,Independent,141,lost,-100399
173,HOWRAH DAKSHIN,NOTA,None of the Above,1574,,-98966
174,SANKRAIL,PRIYA PAUL,All India Trinamool Congress,105412,won,+ 16740
174,SANKRAIL,BARNALI DHALI NASKAR,Bharatiya Janata Party,88672,lost,-16740
174,SANKRAIL,SAMIR MALICK,Communist Party of India (Marxist),29178,lost,-76234
174,SANKRAIL,BECHURAM MALICK,Indian National Congress,2221,lost,-103191
174,SANKRAIL,SRIKUMAR NASKAR,Independent,546,lost,-104866
174,SANKRAIL,KOUSIK NASKAR,Independent,352,lost,-105060
174,SANKRAIL,REKHA MONDAL,Independent,336,lost,-105076
174,SANKRAIL,BIMAL KANTI NASKAR,Independent,325,lost,-105087
174,SANKRAIL,BARUNA DAS,Independent,200,lost,-105212
174,SANKRAIL,NILKAMAL DAS,Independent,199,lost,-105213
174,SANKRAIL,NOTA,None of the Above,1769,,-103643
175,PANCHLA,GULSAN MULLICK,All India Trinamool Congress,123967,won,+ 38320
175,PANCHLA,RANJAN PAUL,Bharatiya Janata Party,85647,lost,-38320
175,PANCHLA,FARID MOLLAH,All India Forward Bloc,20644,lost,-103323
175,PANCHLA,RAHUL PANDEY,Indian National Congress,1728,lost,-122239
175,PANCHLA,SHYAMAL MONDAL,Independent,537,lost,-123430
175,PANCHLA,SUJIT KHAN,Independent,468,lost,-123499
175,PANCHLA,SEKH MOHINUDDIN,Amra Bangalee,433,lost,-123534
175,PANCHLA,NOTA,None of the Above,1739,,-122228
176,ULUBERIA PURBA,RITABRATA BANERJEE,All India Trinamool Congress,95633,won,+ 11838
176,ULUBERIA PURBA,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,83795,lost,-11838
176,ULUBERIA PURBA,NASIR KHAN,All India Secular Front,21909,lost,-73724
176,ULUBERIA PURBA,ALAM DEIYAN SEKH,Indian National Congress,1926,lost,-93707
176,ULUBERIA PURBA,SK  FARHAN AKTAB,Independent,1142,lost,-94491
176,ULUBERIA PURBA,RAJIB ROY,Independent,905,lost,-94728
176,ULUBERIA PURBA,BISWAJIT KHANRA,Independent,553,lost,-95080
176,ULUBERIA PURBA,LATIFUL RAHAMAN MOLLA,Aam Janata Unnayan party,274,lost,-95359
176,ULUBERIA PURBA,SAHAJADI PARVIN,Welfare Party Of India,222,lost,-95411
176,ULUBERIA PURBA,BARUN PATRA,Independent,211,lost,-95422
176,ULUBERIA PURBA,SUKHENDU MONDAL,Socialist Unity Centre Of India (COMMUNIST),204,lost,-95429
176,ULUBERIA PURBA,NOTA,None of the Above,1251,,-94382
177,ULUBERIA UTTAR,CHIRAN BERA,Bharatiya Janata Party,93320,won,+ 4177
177,ULUBERIA UTTAR,BIMAL KUMAR DAS,All India Trinamool Congress,89143,lost,-4177
177,ULUBERIA UTTAR,ASHOK DALUI,Communist Party of India (Marxist),14720,lost,-78600
177,ULUBERIA UTTAR,KALYANI HALDAR,Indian National Congress,1438,lost,-91882
177,ULUBERIA UTTAR,NANDALAL GHUKU,Independent,1258,lost,-92062
177,ULUBERIA UTTAR,NIRMAL MAJI,Independent,988,lost,-92332
177,ULUBERIA UTTAR,SATYAJIT POLLEY,Aam Janata Unnayan party,661,lost,-92659
177,ULUBERIA UTTAR,MIHIR NEBU,Independent,524,lost,-92796
177,ULUBERIA UTTAR,RITWIK POLLEY,Independent,323,lost,-92997
177,ULUBERIA UTTAR,NOTA,None of the Above,1091,,-92229
178,ULUBERIA DAKSHIN,PULAK ROY,All India Trinamool Congress,109649,won,+ 17187
178,ULUBERIA DAKSHIN,SWAMI MANGALANANDA PURI,Bharatiya Janata Party,92462,lost,-17187
178,ULUBERIA DAKSHIN,AMIRUL ISLAM KHAN,All India Forward Bloc,14709,lost,-94940
178,ULUBERIA DAKSHIN,SK JULFIKAR ALI,Independent,2921,lost,-106728
178,ULUBERIA DAKSHIN,INTAJ ALI SHAH,Indian National Congress,1678,lost,-107971
178,ULUBERIA DAKSHIN,UTTAM KUMAR MONDAL,Independent,1348,lost,-108301
178,ULUBERIA DAKSHIN,JAYANTA KHATUA,Socialist Unity Centre Of India (COMMUNIST),598,lost,-109051
178,ULUBERIA DAKSHIN,MOHIT KAR,Indian Unity Centre,462,lost,-109187
178,ULUBERIA DAKSHIN,LAHABUDDIN KHAN,Independent,432,lost,-109217
178,ULUBERIA DAKSHIN,AMAL KUMAR BARMAN,Independent,296,lost,-109353
178,ULUBERIA DAKSHIN,SK HABIB,Aam Janata Unnayan party,270,lost,-109379
178,ULUBERIA DAKSHIN,NOTA,None of the Above,1446,,-108203
179,SHYAMPUR,DR. HIRANMOY CHATTOPADHYAYA (HIRAAN),Bharatiya Janata Party,125651,won,+ 22260
179,SHYAMPUR,NADEBASI JANA,All India Trinamool Congress,103391,lost,-22260
179,SHYAMPUR,ASIT BARAN SAU,All India Forward Bloc,8713,lost,-116938
179,SHYAMPUR,SK. MANJUR ALAM,Indian National Congress,1988,lost,-123663
179,SHYAMPUR,SNEHASHISH SASHMOL,Independent,810,lost,-124841
179,SHYAMPUR,MANOHAR DENRA,Independent,745,lost,-124906
179,SHYAMPUR,SK MAHBUB,Independent,646,lost,-125005
179,SHYAMPUR,ALOK DALAPATI,Socialist Unity Centre Of India (COMMUNIST),528,lost,-125123
179,SHYAMPUR,DIPAK KUMAR MONDAL,Independent,469,lost,-125182
179,SHYAMPUR,PRANAB SAMANTA,Independent,269,lost,-125382
179,SHYAMPUR,SK NOOR AMIN,Aam Janata Unnayan party,227,lost,-125424
179,SHYAMPUR,DEBASRI SAHU,Independent,139,lost,-125512
179,SHYAMPUR,NOTA,None of the Above,1093,,-124558
180,BAGNAN,ARUNAVA SEN,All India Trinamool Congress,105060,won,+ 11316
180,BAGNAN,PRAMANSHU RANA,Bharatiya Janata Party,93744,lost,-11316
180,BAGNAN,BHASKAR ROY,Communist Party of India (Marxist),13921,lost,-91139
180,BAGNAN,SK HAFIZUR RAHAMAN,Indian National Congress,1408,lost,-103652
180,BAGNAN,SK HASIBUL RAHAMAN,Independent,793,lost,-104267
180,BAGNAN,SK JAKIRE HOSSEN,Independent,575,lost,-104485
180,BAGNAN,BISWANATH BERA,Socialist Unity Centre Of India (COMMUNIST),242,lost,-104818
180,BAGNAN,SARIFUL KHAN,Aam Janata Unnayan party,236,lost,-104824
180,BAGNAN,SANJIT PATRA,Independent,181,lost,-104879
180,BAGNAN,MOLAY GHOSH,Independent,121,lost,-104939
180,BAGNAN,NARAYAN CHANDRA JANA,Independent,77,lost,-104983
180,BAGNAN,NOTA,None of the Above,2048,,-103012
181,AMTA,AMIT SAMANTA,Bharatiya Janata Party,104649,won,+ 4454
181,AMTA,SUKANTA KUMAR PAUL,All India Trinamool Congress,100195,lost,-4454
181,AMTA,JOSHIMUDDIN MALLICK,Communist Party of India (Marxist),23193,lost,-81456
181,AMTA,TAPAN DAS,Indian National Congress,2350,lost,-102299
181,AMTA,BAISAKHI MALIK,Independent,1498,lost,-103151
181,AMTA,SK SAPIYAR ALI,Independent,789,lost,-103860
181,AMTA,KAMAL KRISHNA MALIK,Independent,709,lost,-103940
181,AMTA,SANJEEB SANTARA,Socialist Unity Centre Of India (COMMUNIST),614,lost,-104035
181,AMTA,SARASWATI PATRA SARKAR,Independent,370,lost,-104279
181,AMTA,ASHISH DOLUI,Independent,262,lost,-104387
181,AMTA,SK MASAREKUL ANOWAR,Aam Janata Unnayan party,186,lost,-104463
181,AMTA,ABHIJIT HAZRA,Independent,175,lost,-104474
181,AMTA,ABHIJIT SHOW,Independent,156,lost,-104493
181,AMTA,NOTA,None of the Above,1855,,-102794
182,UDAYNARAYANPUR,SAMIR KUMAR PANJA,All India Trinamool Congress,105802,won,+ 12227
182,UDAYNARAYANPUR,PROBHAKAR PANDIT,Bharatiya Janata Party,93575,lost,-12227
182,UDAYNARAYANPUR,SASTHI MAJI,Communist Party of India (Marxist),7849,lost,-97953
182,UDAYNARAYANPUR,DEBRAJ GAYEN,Independent,1618,lost,-104184
182,UDAYNARAYANPUR,ASIT BAKULY,Indian National Congress,1211,lost,-104591
182,UDAYNARAYANPUR,SHYAM BAR,Independent,825,lost,-104977
182,UDAYNARAYANPUR,LAKSHIMIKANTA MALICK,Aam Janata Unnayan party,806,lost,-104996
182,UDAYNARAYANPUR,SAMIR MAITI,Bharatiya Nyay-Adhikar Raksha Party,475,lost,-105327
182,UDAYNARAYANPUR,RAKESH ROY,Independent,420,lost,-105382
182,UDAYNARAYANPUR,NOTA,None of the Above,1022,,-104780
183,JAGATBALLAVPUR,ANUPAM GHOSH,Bharatiya Janata Party,115608,won,+ 6671
183,JAGATBALLAVPUR,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,108937,lost,-6671
183,JAGATBALLAVPUR,NAZIRA KHATUN,All India Secular Front,20896,lost,-94712
183,JAGATBALLAVPUR,KOUSHIK ROY,Indian National Congress,1805,lost,-113803
183,JAGATBALLAVPUR,KOUSIK GHOSH,Independent,1559,lost,-114049
183,JAGATBALLAVPUR,ANUPAM MALIK,Independent,542,lost,-115066
183,JAGATBALLAVPUR,JYOTSNA RANG,Independent,525,lost,-115083
183,JAGATBALLAVPUR,PRASENJIT SANTRA,Bharatiya Nyay-Adhikar Raksha Party,444,lost,-115164
183,JAGATBALLAVPUR,NOTA,None of the Above,2199,,-113409
184,DOMJUR,TAPAS MAITY,All India Trinamool Congress,134036,won,+ 42177
184,DOMJUR,GOBINDA HAZRA,Bharatiya Janata Party,91859,lost,-42177
184,DOMJUR,DULU DAS,Communist Party of India (Marxist),19834,lost,-114202
184,DOMJUR,LAKSHMIKANTA NASKAR,Independent,1963,lost,-132073
184,DOMJUR,ALOKE KOLEY,Indian National Congress,1752,lost,-132284
184,DOMJUR,SUJAY MANDAL,Independent,893,lost,-133143
184,DOMJUR,SEKH SAJID,Rashtriya Secular Majlis Party,888,lost,-133148
184,DOMJUR,TAPAN MAITY,Independent,431,lost,-133605
184,DOMJUR,DIBYENDU GHOSH,Independent,417,lost,-133619
184,DOMJUR,TINKU KAYAL,Independent,232,lost,-133804
184,DOMJUR,TAPAS MONDAL,Independent,230,lost,-133806
184,DOMJUR,MUNSURA BEGUM,Justice and Development Party,229,lost,-133807
184,DOMJUR,HASANUR RAHAMAN MOLLA,Aam Janata Unnayan party,131,lost,-133905
184,DOMJUR,HABIBUR RAHAMAN SK. (RAJU),Bharatiya Nyay-Adhikar Raksha Party,109,lost,-133927
184,DOMJUR,NOTA,None of the Above,1183,,-132853
185,UTTARPARA,DIPANJAN CHAKRABORTY,Bharatiya Janata Party,80612,won,+ 10415
185,UTTARPARA,SIRSANYA BANDOPADHYAY,All India Trinamool Congress,70197,lost,-10415
185,UTTARPARA,MINAKSHI MUKHERJEE,Communist Party of India (Marxist),49820,lost,-30792
185,UTTARPARA,SUBRATA MUKHOPADHYAY,Indian National Congress,1764,lost,-78848
185,UTTARPARA,SUBHARANJAN SHIKARI,Independent,611,lost,-80001
185,UTTARPARA,SUMAN PAUL,Independent,384,lost,-80228
185,UTTARPARA,TAPAN CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),344,lost,-80268
185,UTTARPARA,NOTA,None of the Above,1722,,-78890
186,SREERAMPUR,BHASKAR BHATTACHARYA,Bharatiya Janata Party,85644,won,+ 8685
186,SREERAMPUR,TANMOY GHOSH,All India Trinamool Congress,76959,lost,-8685
186,SREERAMPUR,NABANITA CHAKRABORTY,Communist Party of India (Marxist),17136,lost,-68508
186,SREERAMPUR,SUBHANKAR SARKAR,Indian National Congress,2884,lost,-82760
186,SREERAMPUR,SARKAR MANGAL,Independent,470,lost,-85174
186,SREERAMPUR,SWAPAN ROY,Independent,361,lost,-85283
186,SREERAMPUR,SANDIP BHATTACHARYYA,Independent,342,lost,-85302
186,SREERAMPUR,SAMIR SARKAR,Socialist Unity Centre Of India (COMMUNIST),259,lost,-85385
186,SREERAMPUR,BHASKAR BHATTACHARJEE,Independent,156,lost,-85488
186,SREERAMPUR,SANTOSH KUMAR SINGH (S. K. SINGH),Independent,153,lost,-85491
186,SREERAMPUR,SIMA PAL,Aam Janata Unnayan party,116,lost,-85528
186,SREERAMPUR,NOTA,None of the Above,1817,,-83827
187,CHAMPDANI,DILIP SINGH,Bharatiya Janata Party,93704,won,+ 3026
187,CHAMPDANI,ARINDAM GUIN (BUBAI),All India Trinamool Congress,90678,lost,-3026
187,CHAMPDANI,CHANDRANATH BANERJEE,Communist Party of India (Marxist),14368,lost,-79336
187,CHAMPDANI,PRITAM GHOSH,Indian National Congress,1975,lost,-91729
187,CHAMPDANI,DILIP DAS,Independent,609,lost,-93095
187,CHAMPDANI,DILIP SINGH,Independent,350,lost,-93354
187,CHAMPDANI,ARINDAM GHOSH,Independent,316,lost,-93388
187,CHAMPDANI,MALLA MUKTER,Aam Janata Unnayan party,223,lost,-93481
187,CHAMPDANI,HENA PARVEEN,Samata Party,165,lost,-93539
187,CHAMPDANI,NOTA,None of the Above,2027,,-91677
188,SINGUR,ARUP KUMAR DAS,Bharatiya Janata Party,113008,won,+ 21438
188,SINGUR,BECHARAM MANNA,All India Trinamool Congress,91570,lost,-21438
188,SINGUR,DEBASHIS CHATTERJEE,Communist Party of India (Marxist),12320,lost,-100688
188,SINGUR,KASHINATH SHAW,Aam Janata Unnayan party,1103,lost,-111905
188,SINGUR,BARUN KUMAR MALIK,Indian National Congress,1015,lost,-111993
188,SINGUR,PALLABI ROY,Bahujan Samaj Party,658,lost,-112350
188,SINGUR,SUKANTA POREL,Socialist Unity Centre Of India (COMMUNIST),379,lost,-112629
188,SINGUR,SANJOY SAIKH,Independent,379,lost,-112629
188,SINGUR,ARUP DAS,Independent,251,lost,-112757
188,SINGUR,NOTA,None of the Above,1890,,-111118
189,CHANDANNAGAR,Deepanjan Kumar Guha,Bharatiya Janata Party,86273,won,+ 13441
189,CHANDANNAGAR,Indranil Sen,All India Trinamool Congress,72832,lost,-13441
189,CHANDANNAGAR,Monish Panda,Communist Party of India (Marxist),22760,lost,-63513
189,CHANDANNAGAR,Ratan Kumar Golder,Indian National Congress,1112,lost,-85161
189,CHANDANNAGAR,Surajit Majumdar,Independent,663,lost,-85610
189,CHANDANNAGAR,SANJOY MATABBAR,Independent,414,lost,-85859
189,CHANDANNAGAR,Praloy Mukherjee,Independent,211,lost,-86062
189,CHANDANNAGAR,Kumud Mondal,Socialist Unity Centre Of India (COMMUNIST),189,lost,-86084
189,CHANDANNAGAR,Ashish Chandra Gupta,Hindu Samaj Party,157,lost,-86116
189,CHANDANNAGAR,Sahariar Mullick,Aam Janata Unnayan party,156,lost,-86117
189,CHANDANNAGAR,Rohit Sarkar,Bharatiya National Janata Dal,126,lost,-86147
189,CHANDANNAGAR,NOTA,None of the Above,2016,,-84257
190,CHUNCHURA,SUBIR NAG,Bharatiya Janata Party,137704,won,+ 43435
190,CHUNCHURA,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,94269,lost,-43435
190,CHUNCHURA,SUNIL KUMAR SAHA,All India Forward Bloc,14226,lost,-123478
190,CHUNCHURA,MAINUL HAQUE,Indian National Congress,2411,lost,-135293
190,CHUNCHURA,BRIJ NANDAN PRASAD,Bahujan Samaj Party,933,lost,-136771
190,CHUNCHURA,JESMIN BEGAM,Bharatiya National Janata Dal,730,lost,-136974
190,CHUNCHURA,AJANTA SARKAR,Socialist Party (India),603,lost,-137101
190,CHUNCHURA,BISHNUPADA BISWAS,Independent,553,lost,-137151
190,CHUNCHURA,SUMAN SARKAR,Independent,455,lost,-137249
190,CHUNCHURA,DIPAK PATRA,Independent,305,lost,-137399
190,CHUNCHURA,NOTA,None of the Above,3015,,-134689
191,BALAGARH,SUMANA SARKAR,Bharatiya Janata Party,125624,won,+ 41914
191,BALAGARH,RANJAN DHARA,All India Trinamool Congress,83710,lost,-41914
191,BALAGARH,BIKASH GOLDER,Communist Party of India (Marxist),10175,lost,-115449
191,BALAGARH,HARICHAND MAJUMDAR,Bahujan Samaj Party,1803,lost,-123821
191,BALAGARH,ASHOK BISWAS,Indian National Congress,1487,lost,-124137
191,BALAGARH,SUKDEB BISWAS,Socialist Unity Centre Of India (COMMUNIST),1372,lost,-124252
191,BALAGARH,SOMA BISWAS,Independent,513,lost,-125111
191,BALAGARH,NOTA,None of the Above,1347,,-124277
192,PANDUA,TUSAR KUMAR MAJUMDAR,Bharatiya Janata Party,101349,won,+ 5228
192,PANDUA,SAMIR CHAKRABORTY,All India Trinamool Congress,96121,lost,-5228
192,PANDUA,AMJAD HOSSAIN SK,Communist Party of India (Marxist),27557,lost,-73792
192,PANDUA,SANATAN MANDI,Indian National Congress,2134,lost,-99215
192,PANDUA,SEKH NASIRUDDIN,Aam Janata Unnayan party,1319,lost,-100030
192,PANDUA,RABIN BASKEY,Ambedkarite Party of India,1227,lost,-100122
192,PANDUA,BIJOY KRISNA SARDAR,Independent,1017,lost,-100332
192,PANDUA,KAJAL BAHAK,Independent,718,lost,-100631
192,PANDUA,SHYAMALI KUMAR,Socialist Unity Centre Of India (COMMUNIST),625,lost,-100724
192,PANDUA,NOTA,None of the Above,1651,,-99698
193,SAPTAGRAM,SWARAJ GHOSH,Bharatiya Janata Party,102414,won,+ 23289
193,SAPTAGRAM,BIDESH RANJAN BOSE,All India Trinamool Congress,79125,lost,-23289
193,SAPTAGRAM,ANIRBAN SARKAR,Communist Party of India (Marxist),9198,lost,-93216
193,SAPTAGRAM,SOUGATA GHOSH,Indian National Congress,1691,lost,-100723
193,SAPTAGRAM,SK AKBAR ALI,Independent,925,lost,-101489
193,SAPTAGRAM,CHUNKU TUDU,Independent,745,lost,-101669
193,SAPTAGRAM,PANCHU KODALI,Bharatiya Nyay-Adhikar Raksha Party,571,lost,-101843
193,SAPTAGRAM,REJINA BEGAM,Independent,423,lost,-101991
193,SAPTAGRAM,S.K AKTHAR,Bharatiya National Janata Dal,391,lost,-102023
193,SAPTAGRAM,NOTA,None of the Above,1101,,-101313
194,CHANDITALA,SWATI KHANDOKER,All India Trinamool Congress,107143,won,+ 19663
194,CHANDITALA,DEBASISH MUKHERJEE,Bharatiya Janata Party,87480,lost,-19663
194,CHANDITALA,ASIF ALI,Communist Party of India (Marxist),25438,lost,-81705
194,CHANDITALA,ABU ABBAS UDDIN SK.,Indian National Congress,2458,lost,-104685
194,CHANDITALA,DEBASHISH MUKHERJEE,Independent,1348,lost,-105795
194,CHANDITALA,MD ABUL HASAN GAYEN,Aam Janata Unnayan party,876,lost,-106267
194,CHANDITALA,SUMIT MUKHERJEE,Independent,811,lost,-106332
194,CHANDITALA,SEKH FIROJ,Independent,467,lost,-106676
194,CHANDITALA,NOTA,None of the Above,1451,,-105692
195,JANGIPARA,PROSENJIT BAG,Bharatiya Janata Party,102409,won,+ 862
195,JANGIPARA,SNEHASIS CHAKRABORTY,All India Trinamool Congress,101547,lost,-862
195,JANGIPARA,SUDIPTA SARKAR,Communist Party of India (Marxist),18138,lost,-84271
195,JANGIPARA,SEKH ABDUL RAHIM,Rashtriya Secular Majlis Party,2567,lost,-99842
195,JANGIPARA,SUBHASIS DUTTA,Indian National Congress,1572,lost,-100837
195,JANGIPARA,TAPAS PAUL,Independent,1340,lost,-101069
195,JANGIPARA,A.T.M. MODABBAR HOSSAIN,Aam Janata Unnayan party,746,lost,-101663
195,JANGIPARA,PRITAM DUTTA,Independent,735,lost,-101674
195,JANGIPARA,SANJIB DHARA,Independent,458,lost,-101951
195,JANGIPARA,KARTICK CHANDRA PAL,Independent,391,lost,-102018
195,JANGIPARA,NOTA,None of the Above,2388,,-100021
196,HARIPAL,MADHUMITA GHOSH,Bharatiya Janata Party,113332,won,+ 3488
196,HARIPAL,KARABI MANNA,All India Trinamool Congress,109844,lost,-3488
196,HARIPAL,SK.MUJAFFAR ALI  (MAJA),All India Secular Front,12537,lost,-100795
196,HARIPAL,AZAD SAIF,Indian National Congress,1846,lost,-111486
196,HARIPAL,SEKH MOJAPHAR ALI,Independent,1815,lost,-111517
196,HARIPAL,SK MOJAFFAR,Independent,1388,lost,-111944
196,HARIPAL,SUROJ PHUSTI,Independent,1187,lost,-112145
196,HARIPAL,SUBIR KUMAR ROY,Bahujan Samaj Party,827,lost,-112505
196,HARIPAL,MADHUMITA GHOSH W/O MITHUN GHOSH,Independent,543,lost,-112789
196,HARIPAL,SISIR KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),498,lost,-112834
196,HARIPAL,MADHUMITA GHOSH W/O PALASH GHOSH,Independent,430,lost,-112902
196,HARIPAL,NOTA,None of the Above,1747,,-111585
197,DHANEKHALI,ASIMA PATRA,All India Trinamool Congress,123462,won,+ 13057
197,DHANEKHALI,BARNALI DAS,Bharatiya Janata Party,110405,lost,-13057
197,DHANEKHALI,RUMA AHIRI,Communist Party of India (Marxist-Leninist) (Liberation),4907,lost,-118555
197,DHANEKHALI,JYOTI KUMARI DAS,Indian National Congress,3358,lost,-120104
197,DHANEKHALI,LABANI MAJHI,Independent,1121,lost,-122341
197,DHANEKHALI,ARABINDA BAG,Independent,843,lost,-122619
197,DHANEKHALI,SHEFALI SANTRA,Independent,699,lost,-122763
197,DHANEKHALI,NOTA,None of the Above,2896,,-120566
198,TARAKESWAR,SANTU PAN,Bharatiya Janata Party,116901,won,+ 30999
198,TARAKESWAR,RAMENDU SINHARAY,All India Trinamool Congress,85902,lost,-30999
198,TARAKESWAR,ADESH KHAMRUI,Communist Party of India (Marxist),9616,lost,-107285
198,TARAKESWAR,DITI BHATTACHARJEE,Independent,1878,lost,-115023
198,TARAKESWAR,JAYDEB SANTRA,Independent,1449,lost,-115452
198,TARAKESWAR,BHABANI PRASAD MONDAL,Indian National Congress,1077,lost,-115824
198,TARAKESWAR,IMAMUL HASAN MULLIK,Independent,845,lost,-116056
198,TARAKESWAR,MADAN CHANDRA GHOSH,Independent,666,lost,-116235
198,TARAKESWAR,AHAMED ALAMGIR MIDDYA,Aam Janata Unnayan party,583,lost,-116318
198,TARAKESWAR,TAPAN TUDU,Bahujan Samaj Party,475,lost,-116426
198,TARAKESWAR,NIRMAL KUMAR DHARA,Independent,467,lost,-116434
198,TARAKESWAR,ASTIKMONI MALICK,Independent,234,lost,-116667
198,TARAKESWAR,NOTA,None of the Above,1485,,-115416
